,section_title,raw_text
10,What is sponsorship?,"1. 
Tiers 2 and 5 of the points-based system are the primary immigration routes 
for non-European Economic Area (EEA) migrants who wish to work in the UK. 
These migrants must be sponsored by an organisation or company that holds 
a Tier 2 and/or Tier 5 licence. A licence is a permission given to an 
organisation to sponsor workers in its business. The organisation is known as 
a sponsor. Individual persons are not recognised as sponsors.  
Note: a new points-based immigration system will come into effect from 1 
January 2021. This new system will apply to both EEA and non-EEA workers. 
If you intend to sponsor migrant workers under this new system, you should 
refer to Annex 9 of this guidance. 
 
1.1  Sponsorship is based on 2 principles: 
 
•  those who benefit most directly from migration; employers, education 
providers or other bodies who are bringing in migrants, should play their 
part in ensuring the system is not abused 
•  we need to make sure that those applying to come to the UK for work or to 
study are eligible and that a reputable employer or education provider 
genuinely wishes to take them on 
1.2  A migrant must have a sponsor before they can apply to come to, or remain in, 
the UK for work.  
 
1.3  Sponsorship plays 2 main roles in a migrant’s application for permission to 
come to, or remain in, the UK to work: 
 
•  where appropriate, it provides evidence that the migrant will fill a genuine 
vacancy that cannot be filled with a suitably qualified or skilled settled 
worker 
•  it involves a pledge from the sponsor that it accepts all of the duties 
expected when sponsoring the migrant 
1.4  When a sponsor is granted a Tier 2 or Tier 5 licence, significant trust is placed 
in them. With this trust comes a responsibility to act in accordance with the 
Immigration Rules and all parts of the Tiers 2 and 5: guidance for sponsors. 
We have a duty to ensure that all sponsors discharge these responsibilities 
and will take compliance action when it is considered that a sponsor has failed 
to do so, or otherwise poses a risk to immigration control. The ‘Sponsor duties’ 
section has more information on the duties sponsors must fulfil.  
 
1.5  When considering your licence application, we need to establish 4 things: 
 
  
 
Page 16 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
•  are you a genuine organisation operating lawfully in the UK? - to prove 
this, you must provide certain documents - these are listed in Appendix A 
of the guidance for sponsors 
•  are you honest, dependable and reliable? - to judge this, we look at your 
history and background, the key personnel named on your application and 
any people involved in your day to day running 
•  are you capable of carrying out your sponsor duties and evidencing your 
compliance in a timeframe and manner set out in the ‘Sponsor duties’ 
section? - we judge this by looking at your current human resources and 
recruitment practices to make sure that you will be able to fulfil your 
sponsor duties, we may do this by visiting you before your licence is 
granted 
•  if you are applying under Tier 2 (General), can you offer genuine 
employment that meets the Tier 2 (General) skill level and appropriate 
rates of pay? - the skill threshold for Tier 2 (General) employment 
currently requires a role to be at or above Regulated Qualifications 
Framework level 6 (graduate level), unless any of the exceptions set out 
under ‘Skill level for jobs under Tier 2 (General) and Tier 2 (Intra-Company 
Transfer)’ apply 
 
Note: from 1 January 2021, you will be able to sponsor migrants at RQF level 
3 (A-level and equivalent) or above under the new points-based immigration 
system. See Annex 9 of this guidance for further information. 
We may use the information that you provide to us when you apply for a 
licence or at any time throughout the period of your licence in accordance with 
the Home Office Personal Information Charter. In certain circumstances, 
details may be passed to other government departments and agencies, local 
authorities and fraud prevention agencies such as HM Revenue and Customs 
(HMRC), Department of Work and Pensions (DWP) and Credit Industry Fraud 
Avoidance System (CIFAS) for immigration purposes, the prevention of fraud 
and criminality and/or to help them carry out their functions. These bodies may 
provide the Home Office with information about you and your employees. 
Further details explaining when information may be passed to other bodies, 
and how that information may be used, is available on GOV.UK.  
 
"
11,Current available immigration routes for workers,"1.6  An organisation can apply for recognition under 2 routes: 
 
•  Tier 2: is for skilled work 
•  Tier 5: is for temporary work or an exchange scheme 
 
"
12,Tier 2: skilled workers with a job offer,"1.7 
 
There are 4 categories under the Tier 2 route. They are: 
•  Tier 2 (General) – is for workers who have an offer of a skilled job from an 
employer in the UK that cannot be filled by a settled worker and includes 
workers coming to the UK to fill shortage occupations 
Page 17 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
•  Tier 2 (Intra-Company Transfer) – is for an existing employee of a 
multinational employer who needs to be transferred by the overseas 
employer to a UK branch which is linked by common ownership or control; 
for training purposes or to fill a specific vacancy that cannot be filled by a 
settled or EEA worker either on a long-term basis or for frequent short 
visits, there are 2 sub-categories of this category: 
o  Long-term Staff: is for an employee who needs to be transferred to a 
job which cannot be filled by a new UK recruit; they must have worked 
for their employer overseas for at least 12 months (unless they will 
earn at least £73,900 in the UK)  
o  Graduate Trainee: is for an employee who transfers into a graduate 
trainee programme for a specialist role; they must be a recent 
graduate with at least 3 months’ experience with their employer 
overseas 
•  Tier 2 (Sportsperson): is for elite sportspeople and coaches who are 
internationally established at the highest level and whose employment will 
make a significant contribution to the development of their sport at the 
highest level in the UK, and who will base themselves in the UK 
•  Tier 2 (Minister of Religion) religious workers who have an offer of a job 
within a faith community, such as, a minister of religion, missionary, or 
member of a religious order, in the UK 
 
"
13,Tier 5: temporary workers,"1.8 
 
There are 2 categories under the Tier 5 route: 
•  Tier 5 (Temporary Worker): is for workers to work in a variety of temporary 
roles with an organisation in the UK which will help to satisfy cultural, 
charitable, religious or international objectives including volunteering and 
job shadowing, and for meeting seasonal employment needs in the edible 
horticultural sector. There are 6 sub-categories in this category:  
o  Creative and sporting: is for sports people, entertainers or creative 
artists who have been offered work in the UK for up to 12 months  
o  Charity workers: is for voluntary workers who wish to do unpaid work 
for a charity; it does not include those doing paid work for a charity  
o  Religious workers: is for those who want to do religious work, such as 
working in a religious order 
o  Government authorised exchange: is for those who want to come to 
the UK for a short time for work experience or to do training, an 
Overseas Government Language Programme, research or a 
fellowship through an approved government authorised exchange 
scheme  
o  International agreement: is for those contracted to do work covered by 
international law while in the UK, such as, working for a foreign 
government or as a private servant in a diplomatic household 
o  Seasonal workers: this is a pilot route, enabling employers in the 
edible horticulture sector to employ seasonal workers through an 
approved scheme operator for up to 6 months 
•  Tier 5 (Youth Mobility Scheme): is a cultural exchange scheme which aims 
to promote the UK overseas and to encourage trade and tourism - it 
Page 18 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
allows young people, aged between 18 and 30, to travel to the UK for 
mainly noneconomic reasons, and offers young migrants from 
participating countries and territories, opportunities to work temporarily 
while experiencing life in the UK 
 
"
14,Consequences of employing migrants illegally,"1.9  All employers, not just licensed sponsors, must make sure that their 
employees are entitled to work for them. We will impose a range of penalties 
on those employing people illegally. 
1.10  Compliance officers will refer cases of illegal working for prosecution or the 
issue of a civil penalty. If you are issued with a civil penalty for employing 
illegal workers, your licence may be suspended and any new licence 
application may be refused. ‘Sanctions for illegally employing migrants’ has 
more information on the penalties imposed. We reserve the right to suspend 
your licence or remove your Certification of Sponsorship (CoS) allocation while 
any investigation is in progress. 
 
"
15,Safeguarding children,"1.11  Under Section 55 of the Borders, Citizenship and Immigration Act 2009, we 
must have regard to the need to safeguard children and to promote their 
welfare when exercising immigration functions. The administration of the 
sponsor licensing regime supports our immigration functions, whilst not itself 
constituting such a function. We do not consider that section 55 of the 2009 
Act imposes a general duty upon us to consider the welfare of children of 
sponsored migrants when making decisions about licensing. We do think it 
appropriate to ensure that employers make sure suitable care arrangements 
are in place for a child under 18 who will work in the UK. These include 
arrangements for their: 
 
•  travel 
•  reception when they arrive in the UK 
•  arrangements while in the UK, as well as, parental consent to these 
arrangements  
 
1.12 
If you fail to do this, we will revoke your licence.  
 
1.13  You must have a Disclosure and Barring Service (DBS) check on any of your 
workers undertaking a regulated activity for children. The ‘Regulated Activity in 
relation to Children’ page on GOV.UK has information on what constitutes a 
regulated activity. If your sponsored worker requires a check, they must show 
you their certificate of good character or criminal record check. If you require a 
check, you must ensure that it is carried out. The ‘Criminal records check for 
overseas applicants’ page on GOV.UK has information on how to do this. 
 
"
16,Contact point for queries,"1.14 
If you have any queries about the application process, please call us on 0300 
123 4699, or email the Business Helpdesk.  
 
Page 19 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
 
 
1.15  You can use the services of a representative to help you complete an online 
1.16 
application for a sponsor licence, but they cannot send the application on your 
behalf. If a representative sends your application, it will be refused and your 
fee will not be refunded. 
 
If after receiving a licence, you wish to use the services of a representative, 
you must appoint one using the sponsorship management system (SMS). The 
‘What is the sponsorship management system?’ section has more information 
on the SMS. We will not deal with any communications from a representative 
acting on your behalf unless they have been appointed by you. You can tell us 
that a representative has helped you to fill in your licence application, but you 
can only appoint them at the licence application stage if you also want to 
appoint them as your key contact. We will, however, reject applications where 
you do not have a level 1 user who is your employee. 
 
"
17,Fees,"1.17  There is a fee for: 
 
•  initial applications for a sponsor licence  
•  applying to renew an existing sponsor licence 
•  applying to extend the scope of an existing licence 
•  assigning each certificate of sponsorship (CoS) 
Full payment guidance is available on the ‘UK visa fees’ page on GOV.UK. 
The fee for a sponsor licence depends on the size of the organisation that is 
applying. If you have charitable status or you are subject to the small 
companies regime as set out in paragraphs 381 to 384 of the Companies Act 
2006 on GOV.UK you are eligible to pay the ‘small’ sponsor licence fee.  
This fee is for our consideration of your licence application and will not be 
refunded if we refuse your licence application or you withdraw it after 
consideration of it has begun. 
 
"
18,Immigration skills charge,"1.18  You may have to pay an ‘immigration skills charge’ each time you sponsor a 
migrant in the Tier 2 (General) category or the Tier 2 (Intra-Company Transfer 
(ICT)) Long-term Staff subcategory. The charge came into force on 6 April 
2017 and the money collected from it will be used to address skills gaps in the 
UK workforce.  
 
1.19  The charge is payable in full each time you assign a certificate of sponsorship 
(CoS). The amount you have to pay is specified in the Schedule to the 
Immigration Skills Charge Regulations 2017 and depends on:  
 
•  the size and type of your organisation on the date you assign the worker’s 
CoS, and  
•  the length of employment stated on the CoS  
Page 20 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
 
1.20 
If you are a small or charitable sponsor, as defined in regulation 2 of the 
Immigration Skills Charge Regulations, you will pay the ‘small’ charge, that is:  
•  £364 for any stated period of employment up to 12 months, plus  
•  £182 for each subsequent 6-month period stated on the CoS 
In all other cases, you must pay the ‘large’ charge, that is:  
  
1.21 
 
•  £1,000 for any stated period of employment up to 12 months, plus  
•  £500 for each subsequent 6-month period stated on the CoS  
 
1.22  When you apply for a licence, or apply to renew your licence, it is essential 
that you select the correct size or type for your organisation, as this will 
determine not only the licence fee you will pay, but also the level of 
immigration skills charge you will pay throughout the life of your licence, or 
until you tell us of a change of circumstances through the sponsorship 
management system (SMS) and this has been processed and accepted by 
UKVI.  
 
1.23  To comply with your reporting duties, you must tell us as soon as possible – 
and in any case within 10 working days – if the size or type of your 
organisation changes. This will ensure you pay the correct immigration skills 
charge for each CoS you assign. If you fail to inform us within 10 working 
days, we may take compliance action against you. This could include 
downgrading, suspending or revoking your licence. 
 
1.24  You must not pass any of the charge on to the migrant worker. If we find out 
that you have done this, we may revoke your licence.  
 
"
19,When you must pay,"1.25  Unless an exception applies, you must pay the charge each time you assign a 
CoS to a worker from outside the European Economic Area (EEA) or 
Switzerland in the Tier 2 (General) category or the Long-term Staff 
subcategory of Tier 2 (ICT) and the worker is either:  
•  applying from outside the UK for entry clearance (a visa) to work in the UK 
•  applying from within the UK for leave to remain of any duration, including 
for 6 months or more, or 
for less than 6 months 
 
"
20,When you don’t have to pay,"1.26  You do not have to pay the charge if you are sponsoring any of the following: 
 
•  a worker who is applying for entry clearance from outside the UK for a 
period of less than 6 months 
•  a worker to do a specified PhD-level occupation listed in Table 1 of 
Appendix J to the Immigration Rules 
•  a worker in the Graduate Trainee subcategory of Tier 2 (ICT) 
•  a worker to whom you have previously assigned a CoS where: 
Page 21 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
o  you assign them a new CoS to work for you in a different standard 
occupational classification (SOC) code, and 
o  the new period of leave they are seeking will not exceed their current 
period of leave – if the application would result in a longer grant of 
leave, you must pay the charge, unless another exemption applies 
•  a migrant who has valid leave as a student and is applying under Tier 2 
(General) or Tier 2 (ICT) Long-term Staff – note that this exemption 
continues to apply if you later assign a further CoS to the same migrant to 
continue in the same role 
•  a worker who was assigned a CoS under Tier 2 (General) or Tier 2 (ICT) 
Long-term Staff before 6 April 2017 and: 
o  that CoS resulted in a grant of entry clearance or leave to remain 
o  the worker undertook the role for which that CoS was assigned, and  
o  the worker has not since ceased to have leave to enter or remain 
under Tier 2 (General) or Tier 2 (ICT) Long-term Staff 
 
1.27  You do not have to pay the skills charge for the worker’s family members 
(‘dependants’) who are not themselves migrant workers in the Tier 2 (General) 
or (ICT) categories. The charge does not apply to any other Tier 2 category or 
any of the Tier 5 (Temporary Worker) subcategories.  
 
1.28  There is an Immigration Skills Charge calculator on GOV.UK to help you work 
out if you are liable for the charge.  
 
"
21,Consequences of non-payment,"1.29  Any CoS you have assigned for which you have not paid the full charge 
(where required) will become and remain invalid until the outstanding charge is 
paid in full. This means that any application for entry clearance or leave to 
remain made on the basis of that CoS will be delayed until the charge is paid 
in full.  
1.30  You will be contacted by UKVI if you have not paid the charge or have not paid 
the full amount when you assigned the CoS. 
1.31  The worker’s application for entry clearance or leave to remain will be refused 
if you don’t pay the full amount within 10 working days of the first formal 
reminder to make the payment.  
"
22,Refunds and ‘top-up’ charges,"1.32  The Secretary of State may refund all or part of the charge. A refund will be 
paid to the debit or credit card the charge was paid with, unless you advise us 
of different payment arrangements. In some cases, we may need to request a 
‘top-up’ charge (that is, request an additional amount from you) if you have not 
paid the full amount that you owe. 
 
Partial refund 
1.33  A partial refund will be made in respect of all whole unused 6-month periods of 
leave after the first year of employment where the worker: 
 
 
 
 
Page 22 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
•  is granted for less than the period requested on the CoS - for example, if a 
5-year visa was applied for, but a 3-year visa is granted, the balance 
(£2,000 or £728 for a small sponsor or charity) would be refunded 
•  starts work for one Tier 2 sponsor, but then voluntarily changes to another 
sponsor – the first sponsor will be paid the difference between the charge 
paid and the charge payable for the length of time the Tier 2 worker has 
worked for the first sponsor, or 
•  leaves their post early – for example, if they return home due to ill health, 
are made redundant or dismissed, fail their probation, or fail to secure a 
necessary professional qualification 
 
1.34  A partial refund will also be made if:  
 
•  you assign a CoS to a migrant and pay the large fee, and 
•  before you assigned that CoS, you had notified us that your company had 
changed from large to small, or gained charitable status, and we have 
verified this information  
 
1.35 
In these circumstances, we will refund the difference between the large fee 
and the small fee. We will only issue refunds in respect of CoS issued on or 
after the date you notified us your change in status. It is therefore important 
you tell us of any change in status as soon as possible.  
 
Full refund 
1.36  A full refund will be paid where the migrant’s application for entry clearance or 
leave to remain is: 
•  refused  
•  withdrawn, or 
•  granted but the migrant does not travel to the UK or start work for the 
sponsor 
1.37  A full refund will also be made if the relevant CoS is not used to make a valid 
application for entry clearance or leave to remain. 
How soon decisions on refunds are made 
1.38  Decisions on refunds, other than those related to a change in size or 
charitable status (see paragraphs 1.34 and 1.35 above), are made within 90 
days of: 
 
•  the date you notified UKVI via the SMS that the migrant didn’t come to the 
UK to start work or has left the relevant employment early 
•  the CoS expiry date if no valid visa application is made by the migrant 
•  the date you notified UKVI that you had withdrawn the CoS 
•  the deadline date for making an administrative review application if the 
migrant’s visa application has been refused and they have not applied for 
an administrative review, or 
•  the migrant’s administrative review being dismissed 
 
 
 
 
Page 23 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
Contact UKVI if your refund hasn’t been paid within 90 days of the relevant 
date. 
 
1.39  Where you have notified us that you now qualify as a small company, or have 
gained charitable status, we will issue any partial refund (where due) once we 
have verified that the information you have provided is correct. 
 
Circumstances in which no refund will be made 
1.40  No refund of the immigration skills charge will be paid where: 
•  the migrant changes job but remains working for the same employer 
•  the migrant changes (‘switches’) from a Tier 2 (General) or Tier 2 (ICT) 
Long-term Staff visa to another immigration route but remains employed in 
the same job 
•  your licence is made ‘dormant’ (for example, following a takeover of your 
company) 
•  your licence is revoked, or 
•  the migrant’s leave is curtailed (shortened), unless the reason for 
curtailment is because the migrant failed to commence the relevant 
employment or finished the employment early – a full or partial refund may 
be paid in these circumstances 
 
Top-up charges 
1.41  We will request additional funds (a top-up charge) if: 
 
•  you assign a CoS to a migrant and pay the small fee, and 
•  before you assigned that CoS, you had notified us that you no longer 
qualify as a small or charitable sponsor, and we have verified this 
information 
 
1.42 
In these circumstances, we will request a top-up charge (the difference 
between the small fee and the large fee) in respect of any CoS you have 
assigned on or after the date you notified us of your change in status.  
 
1.43  We will also request a top-up charge in any case where you do not pay the full 
charge (or any charge) for any other reason. See ‘Consequences of non-
payment’ above for what happens if you fail to pay the charge in full.  
 
Related content 
Contents 
Page 24 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
2. 
2  How does sponsorship work? 
To get a licence, you must apply to us using the online application form and 
supply specified documents to prove that you are suitable and eligible. These 
documents are listed in Appendix A of the guidance for sponsors. 
 
2.1  A sponsor licence is valid for 4 years, after which it will expire. The only 
exceptions are if we revoke it or you surrender it before it expires. We reserve 
the right to take action against you if we have reason to believe you pose 
any risk to immigration control. The 4 years will run from the date your 
licence is granted. 
 
2.2  When we consider your application, we assess whether you meet the 
requirements below. You must: 
 
 
 
 
•  complete and send the online sponsor application - this includes a 
declaration from you that you agree to meet all of the duties associated 
with being a licensed sponsor 
•  pay the correct fee 
•  provide proof you are based in the UK and provide original or certified 
copies of the documents listed in Appendix A, unless we say otherwise, to 
show you are genuine and operating or trading lawfully in the UK; an 
organisation is deemed to have been ‘operating or trading’ in the UK from 
the point at which it was incorporated 
•  meet the eligibility and suitability criteria 
•  if asked, provide evidence of holding the appropriate planning permission 
or Local Planning Authority consent to run your type/class of business at 
your trading address, if consent is required by your Local Authority 
•  where you are a food business, if asked, be able to provide evidence of 
your registration with, or approval from, a relevant food authority 
 
We will also consider any evidence which suggests you may be a threat to 
immigration control, or evidence from a public body of your lack of compliance 
with their rules. 
2.3  When you complete the online sponsor licence application, you must choose 
which tiers, categories and subcategories you wish to be licensed under. You 
can choose as many tiers, categories or subcategories as you need, provided 
you are eligible for them. If your application is successful, these will then be 
the only ones you can sponsor a migrant under. 
Licence applications may be rejected, refused or granted with an A-Rating. 
The ‘Rating sponsors’ section has information about the decision we may 
make on your application. 
If your application for a licence is granted, you will then be able to assign 
certificates of sponsorship (CoS) to migrants who wish to work for you. We will 
decide how many CoS you will be allowed to assign. 
2.4 
2.5 
 
Page 25 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
23,How does sponsorship work?,
24,How can I apply for a licence?,
25,Applying for a licence: tier specific,
